| Name                          | Version                           | License                                                                                          | URL                                                             |
| ipython-genutils              | 0.2.0                             | BSD License                                                                                      | http://ipython.org                                              |
| ipywidgets                    | 7.7.0                             | BSD License                                                                                      | http://ipython.org                                              |
| iqm-client                    | 10.1                              | Apache Software License                                                                          | https://github.com/iqm-finland/iqm-client                       |
| iso8601                       | 0.1.16                            | MIT License                                                                                      | https://github.com/micktwomey/pyiso8601                         |
| isort                         | 5.10.1                            | MIT License                                                                                      | https://pycqa.github.io/isort/                                  |
| jedi                          | 0.18.1                            | MIT License                                                                                      | https://github.com/davidhalter/jedi                             |
| jsons                         | 1.4.2                             | MIT License                                                                                      | https://github.com/ramonhagenaars/jsons                         |
| jsonschema                    | 4.4.0                             | MIT License                                                                                      | https://github.com/Julian/jsonschema                            |
| jupyter                       | 1.0.0                             | BSD License                                                                                      | http://jupyter.org                                              |
| jupyter-client                | 7.3.0                             | BSD License                                                                                      | https://jupyter.org                                             |
| jupyter-console               | 6.4.3                             | BSD License                                                                                      | https://jupyter.org                                             |
| jupyter-core                  | 4.10.0                            | BSD License                                                                                      | https://jupyter.org                                             |
| jupyterlab-pygments           | 0.2.2                             | BSD                                                                                              | https://github.com/jupyterlab/jupyterlab_pygments               |
| jupyterlab-widgets            | 1.1.0                             | BSD License                                                                                      | https://github.com/jupyter-widgets/ipywidgets                   |
| kiwisolver                    | 1.4.2                             | BSD License                                                                                      | https://github.com/nucleic/kiwi                                 |
| lark                          | 0.11.3                            | MIT License                                                                                      | https://github.com/lark-parser/lark                             |
| lazy-object-proxy             | 1.7.1                             | BSD License                                                                                      | https://github.com/ionelmc/python-lazy-object-proxy             |
| matplotlib                    | 3.5.1                             | Python Software Foundation License                                                               | https://matplotlib.org                                          |
| matplotlib-inline             | 0.1.3                             | BSD 3-Clause                                                                                     | https://github.com/ipython/matplotlib-inline                    |
| mccabe                        | 0.7.0                             | MIT License                                                                                      | https://github.com/pycqa/mccabe                                 |
| mistune                       | 0.8.4                             | BSD License                                                                                      | https://github.com/lepture/mistune                              |
| mockito                       | 1.2.2                             | MIT License                                                                                      | https://github.com/kaste/mockito-python                         |
| mpmath                        | 1.2.1                             | BSD License                                                                                      | http://mpmath.org/                                              |
| msgpack                       | 0.6.2                             | Apache Software License                                                                          | https://msgpack.org/                                            |
| mypy                          | 0.982                             | MIT License                                                                                      | http://www.mypy-lang.org/                                       |
| mypy-extensions               | 0.4.3                             | MIT License                                                                                      | https://github.com/python/mypy_extensions                       |
| nbclient                      | 0.6.0                             | BSD License                                                                                      | https://jupyter.org                                             |
| nbconvert                     | 6.5.0                             | BSD License                                                                                      | https://jupyter.org                                             |
| nbformat                      | 5.3.0                             | BSD License                                                                                      | http://jupyter.org                                              |
| nest-asyncio                  | 1.5.5                             | BSD License                                                                                      | https://github.com/erdewit/nest_asyncio                         |
| networkx                      | 2.8                               | BSD License                                                                                      | https://networkx.org/                                           |
| notebook                      | 6.4.11                            | BSD License                                                                                      | http://jupyter.org                                              |
| numpy                         | 1.22.3                            | BSD License                                                                                      | https://www.numpy.org                                           |
| packaging                     | 21.3                              | Apache Software License; BSD License                                                             | https://github.com/pypa/packaging                               |
| pandas                        | 1.4.2                             | BSD License                                                                                      | https://pandas.pydata.org                                       |
| pandocfilters                 | 1.5.0                             | BSD License                                                                                      | http://github.com/jgm/pandocfilters                             |
| parso                         | 0.8.3                             | MIT License                                                                                      | https://github.com/davidhalter/parso                            |
| pathspec                      | 0.10.2                            | Mozilla Public License 2.0 (MPL 2.0)                                                             | https://github.com/cpburnz/python-pathspec                      |
| pexpect                       | 4.8.0                             | ISC License (ISCL)                                                                               | https://pexpect.readthedocs.io/                                 |
| pickleshare                   | 0.7.5                             | MIT License                                                                                      | https://github.com/pickleshare/pickleshare                      |
| platformdirs                  | 2.5.2                             | MIT License                                                                                      | UNKNOWN                                                         |
| pluggy                        | 0.13.1                            | MIT License                                                                                      | https://github.com/pytest-dev/pluggy                            |
| ply                           | 3.11                              | BSD                                                                                              | http://www.dabeaz.com/ply/                                      |
| prometheus-client             | 0.14.1                            | Apache Software License                                                                          | https://github.com/prometheus/client_python                     |
| prompt-toolkit                | 3.0.29                            | BSD License                                                                                      | https://github.com/prompt-toolkit/python-prompt-toolkit         |
| proto-plus                    | 1.22.1                            | Apache Software License                                                                          | https://github.com/googleapis/proto-plus-python.git             |
| protobuf                      | 3.20.0                            | BSD-3-Clause                                                                                     | https://developers.google.com/protocol-buffers/                 |
| psutil                        | 5.9.0                             | BSD License                                                                                      | https://github.com/giampaolo/psutil                             |
| ptyprocess                    | 0.7.0                             | ISC License (ISCL)                                                                               | https://github.com/pexpect/ptyprocess                           |
| pure-eval                     | 0.2.2                             | MIT License                                                                                      | http://github.com/alexmojaki/pure_eval                          |
| py                            | 1.11.0                            | MIT License                                                                                      | https://py.readthedocs.io/                                      |
| pyasn1                        | 0.4.8                             | BSD License                                                                                      | https://github.com/etingof/pyasn1                               |
| pyasn1-modules                | 0.2.8                             | BSD License                                                                                      | https://github.com/etingof/pyasn1-modules                       |
| pycparser                     | 2.21                              | BSD License                                                                                      | https://github.com/eliben/pycparser                             |
| pydantic                      | 1.8.2                             | MIT License                                                                                      | https://github.com/samuelcolvin/pydantic                        |
| pydata-sphinx-theme           | 0.8.1                             | BSD License                                                                                      | UNKNOWN                                                         |
| pylint                        | 2.13.5                            | GNU General Public License v2 (GPLv2)                                                            | UNKNOWN                                                         |
| pyparsing                     | 3.0.8                             | MIT License                                                                                      | UNKNOWN                                                         |
| pyquil                        | 3.0.1                             | Apache Software License                                                                          | https://github.com/rigetti/pyquil.git                           |
| pyrsistent                    | 0.18.1                            | MIT License                                                                                      | http://github.com/tobgu/pyrsistent/                             |
| pytest                        | 7.1.2                             | MIT License                                                                                      | https://docs.pytest.org/en/latest/                              |
| pytest-cov                    | 3.0.0                             | MIT License                                                                                      | https://github.com/pytest-dev/pytest-cov                        |
| pytest-isort                  | 3.0.0                             | MIT License                                                                                      | https://github.com/stephrdev/pytest-isort                       |
| pytest-mockito                | 0.0.4                             | MIT License                                                                                      | https://github.com/kaste/pytest-mockito                         |
| pytest-mypy                   | 0.9.1                             | MIT License                                                                                      | https://github.com/dbader/pytest-mypy                           |
| pytest-pylint                 | 0.18.0                            | MIT License                                                                                      | https://github.com/carsongee/pytest-pylint                      |
| python-dateutil               | 2.8.2                             | Apache Software License; BSD License                                                             | https://github.com/dateutil/dateutil                            |
| python-rapidjson              | 1.6                               | MIT License                                                                                      | https://github.com/python-rapidjson/python-rapidjson            |
| pytz                          | 2022.1                            | MIT License                                                                                      | http://pythonhosted.org/pytz                                    |
| pyzmq                         | 22.3.0                            | BSD License; GNU Library or Lesser General Public License (LGPL)                                 | https://pyzmq.readthedocs.org                                   |
| qcs-api-client                | 0.8.0                             | Apache Software License                                                                          | UNKNOWN                                                         |
| qtconsole                     | 5.3.0                             | BSD License                                                                                      | http://jupyter.org                                              |
| requests                      | 2.26.0                            | Apache Software License                                                                          | https://requests.readthedocs.io                                 |
| retry                         | 0.9.2                             | Apache Software License                                                                          | https://github.com/invl/retry                                   |
| retrying                      | 1.3.3                             | Apache Software License                                                                          | https://github.com/rholder/retrying                             |
| rfc3339                       | 6.2                               | ISCL                                                                                             | http://pypi.python.org/pypi/rfc3339/                            |
| rfc3986                       | 1.5.0                             | Apache Software License                                                                          | http://rfc3986.readthedocs.io                                   |
